metric,old,new,delta,notes
full_match,0.149946,0.184628,+0.034682,"高置信完整四字母一致率，离线回放提升"
EI,0.652361,0.596076,-0.056285,"明显副作用，发版后重点观察"
SN,0.553112,0.700887,+0.147775,"本轮主目标，离线提升显著"
TF,0.652897,0.658963,+0.006066,"基本持平，小幅提升"
JP,0.581009,0.650363,+0.069354,"本轮主目标，离线提升明显"
